att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,total,table,rater1,rater2,rater3,rater4
3,0,0,0,0,0,2,0,5,table1,0,0,0,1
2,0,1,2,0,0,0,0,5,table5,0,1,0,0
2,0,1,1,0,0,0,1,5,table3,0,1,0,0
2,0,0,2,0,0,0,1,5,table5,0,0,1,0
1,3,0,1,0,0,0,0,5,table1,0,1,0,0
1,1,0,0,0,1,0,2,5,table2,0,1,0,0
1,0,1,2,0,0,1,0,5,table3,0,0,0,1
1,0,0,4,0,0,0,0,5,table2,0,0,1,0
1,0,0,1,1,0,1,1,5,table3,1,0,0,0
0,2,0,0,0,0,3,0,5,table2,1,0,0,0
0,1,0,3,1,0,0,0,5,table2,0,0,0,1
0,0,3,0,2,0,0,0,5,table1,0,0,1,0
0,0,2,0,0,0,2,1,5,table1,1,0,0,0
0,0,1,0,0,0,0,4,5,table5,1,0,0,0
0,0,0,2,0,0,1,2,5,table5,0,0,0,1
0,0,0,2,0,0,0,3,5,table4,1,0,0,0
0,0,0,1,1,0,0,3,5,table4,0,0,0,1
0,0,0,1,0,4,0,0,5,table1,1,1,1,1
0,0,0,1,0,4,0,0,5,table2,1,1,1,1
0,0,0,1,0,4,0,0,5,table3,1,1,1,1
0,0,0,1,0,4,0,0,5,table4,1,1,1,1
0,0,0,1,0,4,0,0,5,table5,1,1,1,1
0,0,0,1,0,0,1,3,5,table4,0,0,1,0
0,0,0,1,0,0,0,4,5,table3,0,0,1,0
0,0,0,0,0,0,1,4,5,table4,0,1,0,0
4,1,0,1,2,1,0,1,10,table1,0,1,0,0
3,2,0,0,1,0,4,0,10,table4,0,1,0,0
3,0,0,0,4,0,3,0,10,table5,1,0,0,0
3,0,0,0,0,2,1,4,10,table3,0,1,0,0
2,3,2,1,0,0,0,2,10,table1,1,0,0,0
2,0,3,4,0,0,1,0,10,table1,0,0,0,1
2,0,0,0,4,0,4,0,10,table5,0,0,0,1
1,4,0,1,3,0,1,0,10,table2,0,1,0,0
1,2,0,0,0,3,4,0,10,table3,0,0,1,0
0,4,0,2,0,3,0,1,10,table4,0,0,0,1
0,4,0,0,1,1,3,1,10,table2,1,0,0,0
0,1,0,4,1,0,0,4,10,table1,0,0,1,0
0,1,0,2,2,1,4,0,10,table4,1,0,0,0
0,1,0,0,0,3,3,3,10,table2,0,0,0,1
0,0,4,0,2,4,0,0,10,table1,1,1,1,1
0,0,4,0,2,4,0,0,10,table2,1,1,1,1
0,0,4,0,2,4,0,0,10,table3,1,1,1,1
0,0,4,0,2,4,0,0,10,table4,1,1,1,1
0,0,4,0,2,4,0,0,10,table5,1,1,1,1
0,0,2,0,1,0,4,3,10,table3,1,0,0,0
0,0,0,2,4,0,4,0,10,table5,0,0,1,0
0,0,0,2,3,1,4,0,10,table5,0,1,0,0
0,0,0,2,3,0,4,1,10,table3,0,0,0,1
0,0,0,2,0,3,4,1,10,table4,0,0,1,0
0,0,0,0,4,1,2,3,10,table2,0,0,1,0
4,4,1,0,1,1,0,4,15,table1,1,1,1,1
4,4,1,0,1,1,0,4,15,table2,1,1,1,1
4,4,1,0,1,1,0,4,15,table3,1,1,1,1
4,4,1,0,1,1,0,4,15,table4,1,1,1,1
4,4,1,0,1,1,0,4,15,table5,1,1,1,1
4,4,0,4,0,0,3,0,15,table4,0,0,1,0
4,4,0,3,0,0,4,0,15,table4,0,0,0,1
4,2,0,3,0,1,4,1,15,table5,0,0,0,1
4,0,2,4,1,4,0,0,15,table3,0,1,0,0
4,0,0,0,3,4,4,0,15,table1,0,0,1,0
3,2,4,0,0,3,2,1,15,table2,1,0,0,0
3,1,0,4,4,2,1,0,15,table2,0,0,0,1
3,0,2,4,2,0,4,0,15,table3,1,0,0,0
2,4,2,4,0,1,2,0,15,table5,0,1,0,0
2,3,0,4,0,2,2,2,15,table5,0,0,1,0
2,3,0,4,0,1,4,1,15,table5,1,0,0,0
2,1,0,3,2,0,3,4,15,table2,0,1,0,0
1,4,0,1,4,2,3,0,15,table3,0,0,0,1
1,0,4,3,3,1,0,3,15,table1,0,1,0,0
1,0,0,4,0,3,4,3,15,table3,0,0,1,0
0,4,1,3,2,4,0,1,15,table1,0,0,0,1
0,4,0,4,0,1,4,2,15,table4,0,1,0,0
0,3,4,2,2,0,3,1,15,table1,1,0,0,0
0,1,2,0,3,1,4,4,15,table2,0,0,1,0
0,0,3,2,4,4,2,0,15,table4,1,0,0,0
4,4,3,3,2,3,1,0,20,table1,0,0,0,1
4,4,2,1,0,1,4,4,20,table2,0,1,0,0
4,3,4,4,0,1,0,4,20,table3,0,0,0,1
4,3,1,1,4,4,0,3,20,table3,0,1,0,0
4,3,0,4,4,0,3,2,20,table1,1,1,1,1
4,3,0,4,4,0,3,2,20,table2,1,1,1,1
4,3,0,4,4,0,3,2,20,table3,1,1,1,1
4,3,0,4,4,0,3,2,20,table4,1,1,1,1
4,3,0,4,4,0,3,2,20,table5,1,1,1,1
4,1,4,0,2,4,2,3,20,table1,0,0,1,0
4,0,4,4,0,0,4,4,20,table4,1,0,0,0
4,0,4,2,4,3,3,0,20,table5,0,0,1,0
4,0,3,3,4,1,1,4,20,table3,1,0,0,0
3,1,4,1,4,0,4,3,20,table2,0,0,0,1
2,4,3,2,3,1,4,1,20,table3,0,0,1,0
2,3,4,3,1,0,3,4,20,table4,0,0,1,0
2,0,0,4,3,4,4,3,20,table1,1,0,0,0
1,4,4,4,0,4,2,1,20,table2,1,0,0,0
1,2,4,4,2,0,3,4,20,table4,0,0,0,1
1,2,4,2,1,2,4,4,20,table5,1,0,0,0
1,2,4,1,4,4,4,0,20,table4,0,1,0,0
0,4,4,3,4,2,0,3,20,table1,0,1,0,0
0,4,2,0,3,4,3,4,20,table2,0,0,1,0
0,3,4,4,1,0,4,4,20,table5,0,0,0,1
0,2,4,4,2,0,4,4,20,table5,0,1,0,0
4,4,2,1,4,4,4,2,25,table2,0,1,0,0
4,4,0,3,3,3,4,4,25,table1,0,0,0,1
4,3,4,4,3,2,1,4,25,table4,0,1,0,0
4,3,4,2,0,4,4,4,25,table1,1,1,1,1
4,3,4,2,0,4,4,4,25,table2,1,1,1,1
4,3,4,2,0,4,4,4,25,table3,1,1,1,1
4,3,4,2,0,4,4,4,25,table4,1,1,1,1
4,3,4,2,0,4,4,4,25,table5,1,1,1,1
4,2,4,4,4,3,3,1,25,table1,0,0,1,0
4,0,3,4,3,3,4,4,25,table2,0,0,1,0
3,4,4,4,4,0,3,3,25,table2,1,0,0,0
3,4,4,3,3,4,4,0,25,table3,0,1,0,0
3,4,4,0,4,4,2,4,25,table2,0,0,0,1
3,4,3,4,4,4,0,3,25,table1,1,0,0,0
